Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source,blob_polarity,blob_subjectivity,blob_sentiment,ds,vader_scores,vader_polarity,vader_sentiment
2023-01-27 18:53:07+00:00,thank support continued leadership,1619045855784480768,218,1413,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.6369}",0.6369,positive
2023-01-25 18:21:01+00:00,transmission critical unleashing potential affordable abundant clean energy,1618313002385813505,466,2647,Twitter Web App,0.24166666666666667,0.8625,positive,BillGates,"{'neg': 0.19, 'neu': 0.413, 'pos': 0.397, 'compound': 0.3612}",0.3612,positive
2023-01-24 22:37:44+00:00,pleasure speak lowy institute climate change inextricably linked health food energy security must addressed together understanding one impacts others,1618015218688462848,274,1751,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.802}",0.802,positive
2023-01-24 22:33:54+00:00,prime minister kishida right building resilient health systems means investing rampd crises emerge improving primary health care strengthening emergency response health workforce grateful japans strong leadership head,1618014255399448577,140,828,Twitter Web App,0.373015873015873,0.5896825396825397,positive,BillGates,"{'neg': 0.066, 'neu': 0.537, 'pos': 0.396, 'compound': 0.9169}",0.9169,positive
2023-01-23 17:22:17+00:00,annual letter ceo explains uses dollars voice help find solutions problems otherwise might neglected,1617573445751164929,189,1328,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.298, 'neu': 0.488, 'pos': 0.215, 'compound': -0.4019}",-0.4019,negative
2023-01-21 02:42:34+00:00,great meeting intersection climate energy health also spoke supporting communities australia across globe world adapts changing climate,1616627283711889408,331,2486,Twitter Web App,0.525,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8442}",0.8442,positive
2023-01-17 17:28:48+00:00,rt overlapping crises rolling back decade progress global health development amp taken severe toll wo,1615400759662891008,182,0,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.141, 'neu': 0.707, 'pos': 0.152, 'compound': 0.0516}",0.0516,positive
2023-01-12 18:19:23+00:00,leading charge endpolio decades finish line sight ensuring polio stays global priority also remain committed tripling every donation made rotary,1613601550345338881,340,1635,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4939}",0.4939,positive
2023-01-11 20:30:36+00:00,im live ask anything,1613272185342414848,549,4994,Twitter Web App,0.13636363636363635,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2022-12-20 05:31:28+00:00,awe people dedicated lives making world equitable place feel lucky able support efforts,1605073375151656960,942,5395,Twitter Web App,0.41666666666666663,0.7291666666666667,positive,BillGates,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8176}",0.8176,positive
